auc,auc
base64,base64
csat,csat
csi,csi
ctr,ctr
dau,dau
dhcp,dhcp
discord,discord
dns,dns
dropout,dropout
english,английский
esg рейтинг,esg rating
f1-метрика,f1 score
facebook,facebook
gain,gain
guid,guid
i кв,q1
id заказа,order id
id пользователя,user id
id поставщика,supplier id
id продукта,product id
id сотрудника,employee id
id студента,student id
id тикета,ticket id
ii кв,q2
iii кв,q3
imdb,imdb
imdb рейтинг,imdb rating
instagram,inatagram
ip,ip
ip адрес,ip address
iv кв,q4
ks-статистика,ks statistic
lan,lan
lift,lift
log loss,log loss
ltv,ltv
mac адрес,mac address
mae,mae
mau,mau
mcc,mcc
mse,mse
nps,nps
p-значение,p-value
r2-коэффициент,r2 score
rmse,rmse
roc auc,roc auc
roi,roi
russian,русский
signal,signal
team id,team id
telegram,telegram
uri,uri
utm источник,utm source
utm кампания,utm campaign
utm канал,utm medium
uuid,uuid
viber,viber
vlan,vlan
wau,wau
whatsapp,whatsapp
автор,author
авторизация,authorization
адрес,address
адрес доставки,shipping address
адрес регистрации,registration address
адрес электронной почты,email address
актив,asset
активация,activation
активен,is active
активность,activity
активный,active
актуальность,relevance
акциз,excise
акцизный налог,excise tax
акционер,stockholder
акционер,shareholder
акционерный капитал,equity
акция,stock
аллергии,allergies
аллергия,allergy
альфа,alpha
амортизация,depreciation
амплитуда,range
андеррайтер,underwriter
аннотация,annotation
аномалия,anomaly
арендатор,tenant
артикул,sku
артикул,article
ассоциация,association
аттестация,appraisal
аудит,audit
аудитория,classroom
аутентификация,authentication
база данных,database
баланс,balance
баланс счета,account balance
балл,point
белок,protein
бик,
биржа,exchange
блок,block
блокировка,lock
больничный,leave
бонус,bonus
бонусная карта,loyalty card
брак,reject
брандмауэр,firewall
браузер,browser
бренд,brand
брокер,broker
брутто,gross
бюджет,budget
бюджет проекта,project budget
в наличии,on hand
важность,importance
вакансия,vacancy
валидационная выборка,validation split
валюта,currency
вариант,variant
вариант,choice
вариант,option
вариация,variation
ввп,gdp
вероятность,probability
вероятность dropout,dropout rate
версия,version
вес,weight
вес тела,body weight
ветер,wind
веха,milestone
взаимозависимые лица,related parties
вид,kind
вид,view
вид спорта,sport type
вид сырья,raw material type
видеокарта,gpu
видимость,visibility
видимый,visible
витамин,vitamin
вклад,deposit
владелец,owner
влажность,humidity
влажность %,humidity %
вместимость,capacity
внешний ключ,foreign key
вовлеченность,engagement
водитель,driver
водительское удостоверение,driver's license
военный билет,
возврат,refund
возврат,return
возраст,age
возрастной рейтинг,age rating
воронка,funnel
воронка продаж,pipeline
временная разница,temporary difference
время,time
время на сайте,time on site
время начала,start time
время окончания,end time
время отклика,response time
время приготовления мин,cooking time min
время приема,appointment time
время решения,resolution time
всего посещений,total visits
встреча,meeting
второй кубик,second die
входящий ндс,input vat
выборка,sample
выброс,outlier
вывод,conclusion
выгода,benefit
выгодоприобретатель,beneficiary
выделено,allocated
выездная проверка,field audit
выездной контроль,field control
выписка из егрип,sole proprietor extract
выписка из егрюл,company extract
выполнение,completion
выпуск,issue
выручка,revenue
высота,height
выход продукции,yield
вязкость,viscosity
гамма,gamma
гарантийный талон,warranty card
гарантия,warranty
гипотеза,hypothesis
глубина,depth
год,year
год выпуска,production year
год издания,publication year
годные,good parts
годовая плата,annual fee
город,city
готовность,readiness
гражданство,citizenship
график,schedule
грейд,grade
громкость,volume
грузоподъёмность,lifting capacity
группа,group
группа крови,blood type
давление,pressure
давление мбар,pressure mbar
дальность,distance
дата,date
дата выдачи,issue date
дата выхода,start date
дата закрытия,close date
дата изменения,modification date
дата истечения,expiry date
дата обновления,update date
дата окончания,end date
дата платежа,due date
дата подписания,signing date
дата покупки,purchase date
дата приема,hire date
дата приема,appointment date
дата проведения,test date
дата регистрации,registration date
дата рождения,birth date
дата создания,creation date
дата сотрудничества,cooperation date
дата техобслуживания,maintenance date
дата увольнения,termination date
дата установки,installation date
дата-центр,datacenter
двойное налогообложение,double taxation
дебет,debit
дебиторская задолженность,receivables
дедлайн,deadline
действует до,valid until
денежный поток,cash flow
день,day
департамент,department
дети,children
дефект,defect
диагноз,diagnosis
диаметр,diameter
диапазон,range
дивиденд,dividend
дисконт,discount
дисперсия,variance
дистанция,distance
дистрибутив,distribution kit
дисциплина,discipline
длина,length
длительность,duration
длительность дней,duration days
длительность мин,duration min
длительность сессии,session duration
доверенность,procuration
доверитель,principal
договор,contract
дозировка,dosage
документ,document
долг,debt
долгота,longitude
должность,position
доля,fraction
доля,share
доля владения %,ownership %
дом,house
домашний адрес,home address
домен,domain
доначисление,additional assessment
дополнение,addition
дополнительное соглашение,additional agreement
дорожная карта,roadmap
доставка,delivery
доставка,shipping
достаточность,sufficiency
доступ,access
доступна,available
доступно,available
доступность,availability
доступный кредит,available credit
доход,income
доходность,yield
европейский код,ean
единица,unit
единица измерения,units
единый налог,unified tax
единый сельхозналог,unified agricultural tax
емкость,capacity
енвд,imputed income tax
есхн,agricultural tax
жанр,genre
железо,iron
жиры,fat
заголовок,header
загранпаспорт,
загрузки,downloads
задача,task
задолженность,debt
заинтересованная сторона,stakeholder
заинтересованное лицо,stakeholder
заказ,order
заказчик,customer
заключение,conclusion
залог,pledge
замечания,notes
запас,inventory
запись,entry
запись,record
запрет,ban
запрос,request
запрос,query
заработная плата,salary
зарезервировано,reserved
зарплата,salary
затраты,expenses
зачет,offset
заявка,bid
звезды,stars
здание,building
земельный налог,land tax
значение,value
значимость,significance
зона,zone
идентификатор,id
идентификатор,identifier
идентификатор клиента,customer id
избыточность,redundancy
изготовитель,manufacturer
изменение,change
изменено,modified
изменено пользователем,modified by
изображение,image
имя,name
имя,first name
имя пользователя,username
имя файла,file name
инвентаризация,stocktake
инвентарный номер,asset tag
инвестиция,investment
индекс,index
инн,tax id
интервал,interval
интервью,interview
интерпретация,interpretation
испытание,test
истец,plaintiff
истечение срока,expiration
источник,source
источник лида,lead source
источник трафика,traffic source
исход,outcome
исходящий ндс,output vat
итерация,iteration
итог,result
итого,subtotal
итого,total
йод,iodine
к доплате ндс,vat payable
к оплате,total due
кабинет,office
кадровые ресурсы,human resources
кадры,hr
калий,potassium
калории,calories
кальций,calcium
камеральная проверка,desk audit
камеральный контроль,desk control
кампания,campaign
канал,channel
кандидат,candidate
капитал,capital
капитализация,capitalization
каппа коэна,cohen's kappa
каско,
касса,cash register
каталог,catalog
категория,category
качество,quality
квартал,quarter
квартиль,quartile
квартира,apartment
кем выдан,issued by
кислотность,acidity
класс,class
кластер,cluster
клиент,client
клик,click
клиника,clinic
ключ,key
код,code
код валюты,currency code
код города,city code
код курса,course code
код организации,organization code
код подразделения,division code
код региона,region code
код страны,country code
код товара,upc
кодировка,encoding
количество,quantity
количество,count
количество акций,share count
количество оценщиков,num estimators
количество попыток,attempt count
количество порций,servings count
количество соседей,n neighbors
колонка,column
команда,team
комиссия,commission
комментарии,comments
комментарий,comment
коммутатор,switch
комната,room
компания,company
компенсация,compensation
компетенция,competency
комплект,set
комплектация,equipment
конверсия,conversion
конец,end
конечная дата,end date
контакт экстренной связи,emergency contact
контактное лицо,contact person
контейнер,container
контрагент,counterparty
контракт,contraсt
контраст,contrast
контролируемая сделка,controlled transaction
контроль качества,quality control
контрольный вопрос,security question
конфигурация,configuration
концентратор,hub
координаты,coordinates
корень,root
коробка передач,transmission
корректировка,adjustment
корреляция,correlation
котировка,quote
коэффициент,coefficient
коэффициент,ratio
коэффициент брака,defect rate
коэффициент использования,utilization rate
коэффициент кликабельности,click-through rate
коэффициент конверсии,conversion rate
кпп,
кпэ,kpi
кредит,credit
кредитные часы,credit hours
кредитный лимит,credit limit
кредитный рейтинг,credit score
кредиторская задолженность,payables
криптовалюта,cryptocurrency
кросс-энтропия,cross-entropy
кузов,body
курс,rate
курс обмена,exchange rate
курьер,courier
кухня,cuisine
кэшбэк,cashback
лайк,like
лайки,likes
лекарство,medicine
лечение,treatment
лид,lead
ликвидность,liquidity
лимит,limit
лицензия,license
лог,log
логин,login
логотип,logo
лот,lot
льготы,benefits
лямбда,lambda
магний,magnesium
макс,max
максимальная глубина,max depth
максимальная температура,maximum temperature
максимальная цена,max price
максимальный,maximal
максимум,maximum
максимум доверительного интервала,confidence interval max
марганец,manganese
маржа,margin
маржа прибыли,profit margin
маркер,marker
маркировка товаров,product labeling
маршрут,route
маршрутизатор,router
масштаб,scale
материал,material
матрица ошибок,confusion matrix
медаль,medal
медиана,median
медианный доход,median income
медицинская карта,medical record
медь,copper
менеджер,manager
менеджер по продажам,sales rep
мессенджер,messenger
место рождения,place of birth
местоположение,location
месяц,month
метка,label
метка,tag
методика анализа,analysis method
микросервис,microservice
мин,min
минимальная температура,minimum temperature
минимальная цена,min price
минимальный,minimal
минимальный платеж,minimum payment
минимум,minimum
минимум доверительного интервала,confidence interval min
минимум образцов в листе,min samples leaf
минимум образцов для разделения,min samples split
минута,minute
мобильный,mobile
мода,mode
модель,model
модуль,module
моментум,momentum
мост,bridge
мощность,capacity
мощность,power
муниципалитет,municipality
навык,skill
нагрев,heat
название,title
название блюда,dish name
название кампании,campaign name
название проекта,project name
назначение платежа,payment purpose
назначенный агент,assigned agent
наименование,name
наименование акционера,shareholder name
наименование запчасти,spare part name
наименование испытания,test name
наименование товара,product name
накладная,invoice
накопитель,storage
накопительная скидка,cumulative discount
налог,tax
налог на дарение,gift tax
налог на добавленную стоимость,value added tax
налог на имущество,property tax
налог на наследство,inheritance tax
налог на прибыль,corporate tax
налог с продаж,sales tax
налоговая база,tax base
налоговая декларация,tax return
налоговая нагрузка,tax burden
налоговая оптимизация,tax optimization
налоговая отчетность,tax reporting
налоговая разница,tax difference
налоговая ставка,tax rate
налоговое администрирование,tax administration
налоговое консультирование,tax consulting
налоговое планирование,tax planning
налоговое правонарушение,tax violation
налоговое преступление,tax crime
налоговое резидентство,tax residency
налоговые активы,tax assets
налоговые льготы,tax benefits
налоговые обязательства,tax liability
налоговый агент,tax agent
налоговый вычет,tax deduction
налоговый кредит,tax credit
налоговый период,tax period
налоговый учет,tax accounting
налогообложение,taxation
налогоплательщик,taxpayer
напряжение,voltage
население,population
насыщенность,saturation
натрий,sodium
наценка,markup
национальность,nationality
начало,start
начальная дата,start date
начальный lr,learning rate init
ндс,vat
неделя,week
недоимка,tax arrears
нетто,net
нетто-премия,net premium
номер,id
номер,number
номер версии,version number
номер детали,partnumber
номер договора,contract number
номер документа,document number
номер заказа,order number
номер отслеживания,tracking number
номер партии,batch number
номер партии,lot number
номер паспорта,passport number
номер сборки,build number
номер счета,invoice number
номер телефона,phone number
норма,norm
область,domain
область,state
область,area
облигация,bond
обновление,update
обновлено,updated
обозначение,mark
оборот,turnover
образование,education
обратная связь,feedback
обучение,training
общая,total
общая стоимость,total cost
объединение,union
объект,object
объект,facility
объем,volume
объем продаж,sales volume
ограничение,constraint
ограничение,limit
огрн,
ожидаемое время прибытия,eta
ожидание,expectation
окато,
оквэд,
оклад,wage
окпо,
окружение,environment
окуд,
онлайн,online
оперативная память,ram
оператор,operator
операционная система,os
операция,operation
описание,description
описание услуги,service description
определение,definition
оптовая цена,wholesale price
организация,organization
осаго,
осадки,precipitation
освобождение от ндс,vat exemption
основание,base
основание,foundation
основатель,founder
особенности,features
остаток,remainder
остаток на складе,stock balance
ответ,answer
ответ,response
ответ,reply
ответ на контрольный вопрос,security answer
ответственность,responsibility
ответственный,responsible
ответчик,defendant
отгрузка,shipment
отдел,department
отделение,department
отзыв,review
отказ,refusal
отклонение,deviation
отложенный налог,deferred tax
отметка,mark
отображаемое имя,display name
отправитель,sender
отправка,shipment
отправление,departure
отпуск,vacation
отсрочка,deferment
отступ,indent
отступ,offset
отчество,patronymic
отчет,report
